"","text"
"138","@gopayindonesia hai gopay, laporan saya kok belum direspon2 ya ..udah seminggu lebih. Capek kali ngemis mulu .no laporan nya 05987209"
"139","@gopayindonesia cek DM saya ya kak terimakasih."
"140","@gopayindonesia min topup gopay pake bni mobile banking lagi error ya?"
"141","@PakAjiMumpung @Indomaret @alfamart Semoga @alfamart kerjasama kembali dengan @gopayindonesia @gojekindonesia untuk mengadakan cashback 50%. Aamiin. #2019AjiMumpung"
"142","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Setuju pak #2019AjiMumpung"
"143","@PakAjiMumpung Pantengin @gopayindonesia pak. Selalu update info2nya jadi tau lagi ada cashback dmn dan kpn aja #2019AjiMumpung"
"144","Tolong ceu @gojekindonesia @gojektech @gopayindonesia balikin gopipay ai !!! https://t.co/1DjpZBLSJ7"
"145","Dear @gojekindonesia @gojektech @gopayindonesia kenaposeh andah tonite ?? Ai abis isi gopipay gak dpt2 driver tau2 gopipay akik kepotong ceu ?? https://t.co/LiaFqCWAZB"
"146","@gopayindonesia https://t.co/lLwPj9yU68"
"147","@gopayindonesia saya sudah menunggu proses withdraw selama 2hari tp smpe skrg uangny belum masuk ke rekening saya. Mohon bantuannya"
"148","@gojekindonesia saya ingin complain terkait saldo gopay saya yg tb2 berkurang padahal saya cancel order go ridenya. Mohon konfirmasi segera@gojekindonesia @gopayindonesia, karena saya sudah hubungi admin namun sampai sekarang belum ada balasan.trims"
"149","Halo @gopayindonesia 
Kenapa saya gagal terus ya topup gopay dari mbanking BNI. Apakah lagi gangguan ?"
"150","@indyarbella @gopayindonesia Saya bukan sobat misquen. Jadi saldo slalu ada"
"151","@ibnusiddikkk @gopayindonesia Saldo kamu ga ada bhambank"
"152","@gopayindonesia Hi GoPay. Aku top up ke driver pagi ini sbsr 50rb dan berhasil, saldo terakhir https://t.co/0EVp4RDJXJ. Pemakaian hari ini hanya 2x dengan jumlah 18 ribu, tapi kenapa top up 50rb yg tadi pagi tibatiba hilang ya? Pls respond <U+0001F61E> sudah restart tp saldo ttp berkurang!"
"153","@gojekindonesia saya punya 2 akun gojek, dengan 2 akun @gopayindonesia , salah satunya mau saya tutup. Saldo saya di akun satunya, apakah bisa dipindahkan ke akun saya yang lain? Terimakasih"
"154","Dua kali kirim verifikasi ke @gopayindonesia @gojekindonesia gak tembus2 dan gak ada pesan error beda ama @ovo_id hitungan menit di approved..."
"155","@gojekindonesia @gopayindonesia halo, saya cancel trip karena emang lama tidak ada yang pick, tapi kok saldo gopay saya kepotong ya? mohon bantuannya ya, makasih"
"156","@gopayindonesia Sudah"
"157","@gopayindonesia udah berhari-hari masih begini aja. Kapan selesai diunggahnya ya? https://t.co/cfadFcMgvY"
"158","@gopayindonesia Halo. Hari ini saya topup dan total saldo saya 101, lalu naik Gojek pakai Gopay, dikurangi 9, seharusnya saldo 92, lalu kenapa ini jadi 83, ya? Nominalnya gak banyak, memang, tapi ini udah kedua kalinya. https://t.co/HeUWCNUBoz"
"159","@gopayindonesia halo yea ini lg ga bisa beli listrik ya?"
"160","@gojekindonesia @gopayindonesia pencairan saldo gopay ke atm membutuhkan waktu brp lama ya?"
"161","Halo @gopayindonesia , kenapa masih in process sejak tgl 13 feb ni https://t.co/eCOSSjdZwJ"
"162","bro @gojekindonesia, waktu order keknya bayar pake @gopayindonesia lah ini kok jadi cash? Drivernya bisa ganti opsi pembayaran? pe gara gara  tdi banyak yang nge cancel? https://t.co/KsjFlMhGPA"
